word,count
com,74516
http,69456
enron,67215
submission,53353
ect,46133
id,42180
python,38160
org,36085
www,33097
would,29552
e,28893
new,27563
mail,26874
subject,26834
please,26534
list,23658
c,23491
one,22867
message,22741
hou,22229
added,20932
pm,20476
sender,20006
time,19737
notes,19576
b,18880
like,18511
x,18147
may,18012
get,17829
use,17827
university,17796
also,17473
virus,17364
vince,17024
total,16858
cc,16792
information,16543
know,16067
wrote,15950
net,15060
email,14931
thanks,14491
data,14257
j,14034
group,13882
us,13404
r,13339
need,13238
p,13055
see,13030
company,12668
said,12653
file,12583
work,12466
could,12251
research,12103
f,11935
html,11858
perl,11723
make,11571
dev,11526
energy,11496
power,10857
mailman,10589
call,10489
date,10457
sent,10381
conference,10316
help,10227
using,10181
web,10016
feb,9946
business,9932
two,9909
well,9857
system,9783
think,9771
first,9746
gas,9627
name,9545
kaminski,9484
let,9259
l,9180
people,9173
way,9092
want,9063
linux,8945
version,8809
type,8800
year,8776
edu,8746
day,8744
last,8738
mailing,8685
corp,8656
content,8605
users,8530
th,8462
language,8358
line,8308
problem,8205
n,8081
issue,8054
news,8017
week,7980
papers,7949
listinfo,7947
following,7873
much,7786
original,7775
user,7764
go,7732
code,7704
used,7682
deal,7673
w,7670
systems,7666
find,7666
good,7660
test,7651
home,7650
based,7566
address,7554
options,7549
management,7501
already,7482
still,7465
change,7442
back,7384
meeting,7371
available,7363
spam,7353
unsubscribe,7349
text,7285
set,7285
many,7280
next,7268
contact,7250
gif,7246
send,7235
market,7232
price,7228
take,7168
project,7112
free,7091
number,7039
today,6924
support,6912
john,6864
houston,6789
risk,6776
best,6733
inc,6691
cnet,6584
even,6580
h,6577
de,6576
end,6558
questions,6551
program,6531
development,6521
u,6469
trading,6434
since,6383
issues,6325
case,6285
service,6279
workshop,6240
click,6240
look,6192
g,6153
open,6116
lib,6063
etc,6019
paper,6016
software,5917
long,5917
regards,5881
uk,5843
part,5806
postfix,5799
site,5781
state,5773
process,5746
v,5735
received,5722
might,5707
world,5682
error,5681
right,5677
order,5660
forwarded,5636
server,5631
going,5619
working,5617
read,5607
possible,5606
lists,5575
years,5483
hi,5478
report,5455
run,5452
really,5451
include,5450
k,5392
forward,5370
fax,5349
sure,5348
co,5348
start,5329
attached,5328
py,5321
services,5297
spamassassin,5284
however,5282
messages,5274
access,5272
local,5260
per,5255
something,5253
example,5247
february,5243
different,5219
friday,5167
another,5161
current,5125
page,5109
update,5102
windows,5077
check,5076
computer,5054
david,5041
credit,5038
financial,5036
must,5035
provide,5030
mark,5029
non,4997
made,4997
march,4960
april,4951
review,4876
including,4874
database,4860
point,4844
internet,4841
trojan,4838
technology,4821
found,4819
problems,4811
usr,4792
usa,4790
full,4774
value,4772
dynegy,4760
files,4727
model,4721
without,4719
office,4716
request,4701
give,4699
applications,4699
team,4696
ac,4695
thank,4688
pl,4688
monday,4675
comments,4653
phone,4651
learning,4638
try,4633
days,4578
https,4558
visit,4550
article,4544
california,4511
ie,4490
discuss,4483
science,4479
win,4463
better,4433
changes,4430
source,4422
special,4392
able,4339
high,4337
million,4333
done,4311
via,4295
self,4257
things,4252
book,4242
real,4242
note,4210
term,4206
opensuse,4196
reply,4150
security,4139
network,4124
google,4121
alias,4105
stock,4105
question,4103
detected,4099
due,4095
build,4090
bug,4084
function,4079
put,4068
yahoo,4046
additional,4023
policy,4017
say,4013
fe,3987
july,3979
post,3975
wednesday,3969
billion,3969
related,3947
got,3944
application,3939
companies,3937
great,3902
thursday,3901
interest,3900
international,3873
analysis,3871
status,3870
view,3869
add,3858
tuesday,3855
final,3854
important,3852
three,3836
looking,3836
bit,3836
within,3833
york,3824
link,3810
place,3800
copyright,3786
future,3785
yes,3775
machine,3770
general,3769
copy,3761
online,3738
top,3728
details,3727
domain,3714
running,3700
around,3697
communications,3694
times,3689
release,3683
ok,3683
level,3673
seems,3660
august,3655
groups,3637
jones,3633
position,3612
month,3601
results,3599
natural,3580
schedule,3579
come,3565
louise,3564
slashdot,3562
failed,3560
anyone,3556
committee,3556
form,3556
currently,3533
course,3524
interested,3521
keep,3498
either,3497
log,3493
posted,3488
given,3487
second,3484
return,3479
format,3463
department,3458
offer,3450
sid,3448
london,3440
url,3437
iso,3433
whether,3429
shirley,3421
hope,3398
center,3393
english,3380
prices,3379
linguistics,3376
probably,3374
several,3364
key,3355
sun,3354
show,3340
markets,3334
plan,3334
every,3333
default,3333
least,3332
june,3332
option,3325
microsoft,3314
needs,3313
rights,3297
receive,3286
buy,3281
class,3273
michael,3272
job,3263
global,3239
yet,3230
talk,3216
getting,3215
though,3199
works,3198
anything,3195
knowledge,3191
oct,3186
package,3180
languages,3175
avg,3168
directory,3168
october,3165
less,3156
cost,3155
share,3146
else,3145
short,3133
old,3116
products,3108
patch,3107
create,3105
ees,3104
cannot,3103
thing,3097
experience,3094
print,3093
presentation,3079
info,3078
story,3070
required,3069
main,3068
et,3067
specific,3060
says,3060
daily,3054
trying,3039
mike,3039
recent,3034
lot,3031
nz,3030
plain,3025
core,2998
actually,2997
ca,2996
discussion,2987
steve,2983
school,2981
contract,2960
na,2959
kernel,2942
texas,2941
mr,2939
resources,2927
standard,2924
search,2920
public,2915
making,2910
index,2898
together,2889
bin,2887
agreement,2880
little,2878
apache,2874
regarding,2858
someone,2857
september,2856
control,2843
signature,2839
bad,2831
sourceforge,2830
reserved,2827
hard,2819
tangomu,2816
called,2814
always,2812
topics,2809
believe,2807
never,2799
large,2788
far,2785
performance,2781
models,2770
rate,2763
street,2757
industry,2753
robert,2749
kevin,2737
rather,2734
client,2733
links,2725
install,2717
students,2714
dr,2712
members,2710
deadline,2709
dear,2702
november,2700
write,2700
ilug,2695
expected,2694
theory,2689
account,2671
module,2671
dow,2669
president,2667
january,2665
latest,2661
hour,2660
event,2657
resume,2656
lon,2653
author,2649
zdnet,2649
path,2647
mar,2640
product,2639
smtp,2638
submissions,2638
begin,2637
apply,2616
session,2615
result,2615
limited,2611
interview,2611
close,2611
soon,2605
north,2603
person,2601
understand,2598
director,2597
operations,2587
instead,2581
meter,2580
morning,2579
finance,2578
nov,2575
martin,2572
cgi,2569
st,2569
decision,2566
deals,2566
fw,2561
tue,2557
smtpd,2554
december,2551
feel,2551
enough,2551
os,2550
continue,2545
learn,2545
area,2545
weeks,2543
hpl,2543
ip,2541
idea,2541
small,2537
tests,2534
months,2526
methods,2525
size,2518
america,2501
volume,2497
charset,2493
manager,2491
spambayes,2488
big,2487
technical,2479
en,2477
nl,2472
tools,2471
ask,2470
meet,2464
later,2461
past,2461
var,2458
terms,2458
ena,2457
bill,2455
download,2450
storage,2447
ls,2444
percent,2433
feedback,2431
early,2430
move,2428
pgp,2422
challenge,2420
complete,2419
field,2418
pay,2414
sat,2413
others,2410
warning,2409
shares,2408
maybe,2406
paul,2404
capacity,2402
held,2398
networks,2396
jeff,2390
asked,2389
word,2388
exchange,2375
agent,2367
single,2366
summary,2366
registration,2364
summer,2361
dept,2355
fact,2352
follow,2352
needed,2339
root,2335
created,2333
thought,2333
unknown,2330
dkim,2325
doc,2313
action,2303
mailto,2291
q,2285
rules,2284
method,2276
chris,2265
employees,2258
ago,2257
cash,2254
customers,2253
board,2248
easy,2247
redhat,2243
reason,2240
crenshaw,2231
newsletter,2215
likely,2213
rpm,2212
ready,2211
published,2205
means,2203
wed,2202
website,2201
engineering,2201
object,2199
reports,2198
apr,2191
government,2180
major,2177
pages,2176
virscan,2174
kind,2172
tell,2165
money,2159
customer,2156
media,2152
true,2150
journal,2149
third,2149
legal,2145
opportunity,2135
box,2135
razor,2135
chief,2134
space,2127
clear,2127
canada,2118
series,2117
areas,2115
save,2111
mmbtu,2110
tuxonice,2108
shall,2107
allow,2103
looks,2103
makes,2102
bob,2102
hello,2100
stinson,2099
intelligence,2097
quite,2097
american,2096
bitdefender,2095
assets,2093
design,2093
perhaps,2088
training,2087
recipient,2086
processing,2078
join,2076
james,2075
bugs,2075
hours,2074
debt,2071
everyone,2070
peter,2070
comment,2068
approach,2068
building,2068
according,2067
command,2064
although,2058
sa,2057
chair,2055
header,2052
numbers,2048
life,2044
mean,2044
electricity,2042
present,2042
response,2037
white,2031
record,2030
authors,2027
library,2024
yesterday,2023
press,2023
fine,2023
wrong,2019
transfer,2015
trade,2015
subscription,2014
particular,2013
php,2011
uai,2011
dbcaps,2010
video,2009
words,2005
planning,2004
richard,2002
projects,2002
topic,2002
investment,2001
changed,1996
gmail,1996
load,1996
community,1992
professor,1988
range,1986
jb,1985
events,1985
various,1983
multiple,1982
features,1981
sales,1981
multi,1980
kitchen,1977
firm,1976
direct,1976
solution,1972
common,1966
national,1965
left,1965
tom,1964
simple,1961
mon,1960
sorry,1960
institute,1957
low,1955
wanted,1952
purchase,1951
cs,1947
basis,1947
smith,1943
card,1940
human,1940
answer,1940
focus,1938
names,1936
dates,1933
potential,1932
addition,1931
delivery,1926
analyst,1922
happy,1919
four,1915
states,1913
structure,1912
sign,1907
applied,1904
virtual,1903
thu,1899
ju,1899
ever,1893
written,1893
tech,1892
investors,1888
z,1887
java,1886
table,1884
signed,1883
rice,1880
study,1876
van,1875
points,1875
drive,1874
jim,1871
similar,1869
taking,1867
fri,1866
provided,1865
fec,1865
contracts,1865
closed,1861
import,1860
title,1859
fedora,1859
electronic,1853
ffcf,1853
writes,1853
room,1852
social,1852
daren,1850
nice,1848
recently,1847
msg,1845
included,1845
production,1844
thread,1844
accepted,1843
invited,1843
submit,1841
told,1840
executive,1838
capital,1835
correct,1835
location,1833
demand,1831
fefc,1831
weather,1829
fdfc,1829
ecostemail,1829
reference,1828
commercial,1828
coming,1822
sale,1821
lines,1820
feature,1819
everything,1819
pipeline,1818
useful,1811
head,1810
unit,1809
posting,1809
ext,1809
document,1807
rule,1806
tel,1803
stop,1800
eum,1798
zvllln,1798
waikato,1798
desk,1796
tried,1794
minutes,1790
city,1788
pdf,1784
submitted,1783
fix,1783
longer,1782
script,1780
marketing,1779
digital,1776
directly,1775
weka,1773
staff,1773
remove,1767
scott,1767
oil,1766
guide,1765
pc,1765
computational,1764
track,1763
notice,1761
role,1760
member,1759
european,1753
image,1748
trunk,1748
nothing,1745
cheers,1743
corporate,1742
installed,1742
tomorrow,1741
welcome,1739
base,1737
section,1735
period,1735
mm,1733
hourahead,1733
bring,1732
stuff,1732
fixed,1729
quarter,1729
along,1729
researchers,1728
string,1728
san,1726
hits,1726
intended,1725
student,1725
uses,1725
seem,1723
asp,1722
body,1721
communication,1720
away,1720
seen,1718
individual,1713
dave,1712
expect,1710
senior,1708
participants,1706
encoding,1705
reject,1705
mime,1702
letter,1700
across,1699
chairman,1697
